rpm -qa --queryformat "%{name},%{version}-%{release},%{arch}\n" | LANG=C sort
oniguruma,6.8.2-2.el8,x86_64
openldap,2.4.46-15.el8,x86_64
openssh,8.0p1-5.el8,x86_64
openssh-clients,8.0p1-5.el8,x86_64
openssh-server,8.0p1-5.el8,x86_64
openssl,1.1.1g-11.el8,x86_64
openssl-libs,1.1.1g-11.el8,x86_64
openssl-pkcs11,0.4.10-2.el8,x86_64
oracle-logos,80.5-1.0.6.el8,x86_64
oracle-logos-httpd,80.5-1.0.6.el8,noarch
oraclelinux-release,8.3-1.0.4.el8,x86_64
oraclelinux-release-el8,1.0-14.el8,x86_64
os-prober,1.74-6.0.1.el8,x86_64
overpass-fonts,3.0.2-3.el8,noarch
p11-kit,0.23.14-5.el8_0,x86_64
p11-kit-trust,0.23.14-5.el8_0,x86_64
pacemaker,2.0.4-6.el8,x86_64
pacemaker-cli,2.0.4-6.el8,x86_64
pacemaker-cluster-libs,2.0.4-6.el8,x86_64
pacemaker-libs,2.0.4-6.el8,x86_64
pacemaker-schemas,2.0.4-6.el8,noarch
pam,1.3.1-11.el8,x86_64
pango,1.42.4-6.el8,x86_64
passwd,0.80-3.el8,x86_64
patch,2.7.6-11.el8,x86_64
pciutils,3.6.4-2.el8,x86_64
pciutils-libs,3.6.4-2.el8,x86_64
pcp,5.1.1-3.0.1.el8,x86_64
pcp-conf,5.1.1-3.0.1.el8,x86_64
pcp-libs,5.1.1-3.0.1.el8,x86_64
pcp-selinux,5.1.1-3.0.1.el8,x86_64
pcp-system-tools,5.1.1-3.0.1.el8,x86_64
pcre,8.42-4.el8,x86_64
pcre2,10.32-2.el8,x86_64
pcs,0.10.6-4.0.1.el8,x86_64
perf,4.18.0-240.el8,x86_64
perl-Carp,1.42-396.el8,noarch
perl-Data-Dumper,2.167-399.el8,x86_64
perl-Date-Manip,6.60-2.el8,noarch
perl-Digest,1.17-395.el8,noarch
perl-Digest-MD5,2.55-396.el8,x86_64
perl-Encode,2.97-3.el8,x86_64
perl-Errno,1.28-416.el8,x86_64
perl-Error,0.17025-2.el8,noarch
perl-Exporter,5.72-396.el8,noarch
perl-File-Path,2.15-2.el8,noarch
perl-File-Temp,0.230.600-1.el8,noarch
perl-Getopt-Long,2.50-4.el8,noarch
perl-Git,2.27.0-1.el8,noarch
perl-HTTP-Tiny,0.074-1.el8,noarch
perl-IO,1.38-416.el8,x86_64
perl-IO-Socket-IP,0.39-5.el8,noarch
perl-IO-Socket-SSL,2.066-4.module+el8.3.0+7674+5fd4be5f,noarch
perl-MIME-Base64,3.15-396.el8,x86_64
